temperature,humidity,vibrations,speed,temperature_status,humidity_status,vibrations_status,speed_status
30.5,69.48,1.65,12.76,LOW,LOW,HIGH,NORMAL
33.12,64.13,1.63,10.67,LOW,NORMAL,HIGH,NORMAL
36.01,66.66,1.06,95.55,MEDIUM,NORMAL,NORMAL,HIGH
26.38,71.76,0.94,49.45,NORMAL,MEDIUM,NORMAL,NORMAL
28.63,62.51,0.97,94.48,NORMAL,NORMAL,NORMAL,HIGH
37.89,72.92,1.47,73.82,MEDIUM,MEDIUM,MEDIUM,MEDIUM
34.25,70.96,0.94,27.89,MEDIUM,MEDIUM,NORMAL,NORMAL
30.19,64.37,1.48,66.75,LOW,NORMAL,MEDIUM,LOW
25.76,69.05,1.11,46.85,NORMAL,LOW,LOW,NORMAL
36.41,62,1.07,79.9,MEDIUM,NORMAL,NORMAL,MEDIUM
26.69,72.03,0.93,5.81,NORMAL,MEDIUM,NORMAL,NORMAL
30.75,67.13,1.21,82.2,LOW,LOW,LOW,MEDIUM
35.52,60.97,1.39,30.94,MEDIUM,NORMAL,MEDIUM,NORMAL
39.47,69.52,1.27,88.73,HIGH,LOW,LOW,HIGH
37.14,66.44,1.2,81.04,MEDIUM,NORMAL,LOW,MEDIUM
31.16,64.82,1.07,14.74,LOW,NORMAL,NORMAL,NORMAL
24.39,61.76,0.98,53.52,NORMAL,NORMAL,NORMAL,LOW
36.24,67.53,1.14,30.83,MEDIUM,LOW,LOW,NORMAL
29.86,68.59,1.49,45.05,NORMAL,LOW,MEDIUM,NORMAL
30.72,60.47,1.03,68.74,LOW,NORMAL,NORMAL,LOW
38.73,72.62,1.67,87.64,HIGH,MEDIUM,HIGH,HIGH
32.87,70.3,0.99,87.03,LOW,MEDIUM,NORMAL,HIGH
39.03,65.84,1.61,90.96,HIGH,NORMAL,HIGH,HIGH
31.77,74.42,1.16,26.98,LOW,HIGH,LOW,NORMAL
36.33,70.77,1.69,44.04,MEDIUM,MEDIUM,HIGH,NORMAL
24.34,70.55,1.19,14.48,NORMAL,MEDIUM,LOW,NORMAL
25.2,71.86,1.58,28.91,NORMAL,MEDIUM,HIGH,NORMAL
29,60.26,1.27,38.81,NORMAL,NORMAL,LOW,NORMAL
25.35,71.88,1.34,81.72,NORMAL,MEDIUM,MEDIUM,MEDIUM
37.77,71.33,1.16,17.29,MEDIUM,MEDIUM,LOW,NORMAL
33.84,61.98,1.32,61.76,LOW,NORMAL,MEDIUM,LOW
30.76,60.43,0.98,48.49,LOW,NORMAL,NORMAL,NORMAL
33,69.75,1.15,7.7,LOW,LOW,LOW,NORMAL
25.02,73.44,1.45,14.63,NORMAL,HIGH,MEDIUM,NORMAL
29.65,61.03,0.9,58.65,NORMAL,NORMAL,NORMAL,LOW
34.85,71.39,1.55,81.74,MEDIUM,MEDIUM,HIGH,MEDIUM
39.35,64.27,1.52,30.11,HIGH,NORMAL,HIGH,NORMAL
27.45,64.41,1.09,24.15,NORMAL,NORMAL,NORMAL,NORMAL
39.06,72.61,1.33,80.45,HIGH,MEDIUM,MEDIUM,MEDIUM
27.09,67.12,1.1,94.17,NORMAL,LOW,NORMAL,HIGH
35.56,73.4,1.27,8.12,MEDIUM,HIGH,LOW,NORMAL
25.44,61.63,1.35,35.52,NORMAL,NORMAL,MEDIUM,NORMAL
30.99,73.81,0.96,72.28,LOW,HIGH,NORMAL,MEDIUM
39.43,67.4,1.58,92.18,HIGH,LOW,HIGH,HIGH
31,64.35,1.26,51.32,LOW,NORMAL,LOW,LOW
36.66,67.58,1.54,26.06,MEDIUM,LOW,HIGH,NORMAL
33.68,73.89,1.5,52.87,LOW,HIGH,MEDIUM,LOW
30.85,68.07,1.51,93.56,LOW,LOW,HIGH,HIGH
38.9,61.12,1.64,57.34,HIGH,NORMAL,HIGH,LOW
27.6,65.04,1.69,58.69,NORMAL,NORMAL,HIGH,LOW
36.45,65.08,0.94,15.36,MEDIUM,NORMAL,NORMAL,NORMAL
31.49,74.34,1.63,9.38,LOW,HIGH,HIGH,NORMAL
33.36,71.5,1.19,31.92,LOW,MEDIUM,LOW,NORMAL
24.88,61.89,0.93,96.67,NORMAL,NORMAL,NORMAL,HIGH
28.01,60.89,1.3,13.34,NORMAL,NORMAL,LOW,NORMAL
39.9,72.94,1.54,50.75,HIGH,MEDIUM,HIGH,LOW
25.84,70.08,1.55,34.07,NORMAL,MEDIUM,HIGH,NORMAL
24.41,62.57,1.63,59.15,NORMAL,NORMAL,HIGH,LOW
35.49,70.81,1.43,65.01,MEDIUM,MEDIUM,MEDIUM,LOW
37.28,69.21,1.69,45.08,MEDIUM,LOW,HIGH,NORMAL
32.06,73.88,1.28,44.85,LOW,HIGH,LOW,NORMAL
38.97,68.22,1.63,17.47,HIGH,LOW,HIGH,NORMAL
38.74,69.72,1.31,51.26,HIGH,LOW,MEDIUM,LOW
38.7,70.1,1.23,78.89,HIGH,MEDIUM,LOW,MEDIUM
39.7,61,1.17,56.55,HIGH,NORMAL,LOW,LOW
31.86,62.04,1.61,89.6,LOW,NORMAL,HIGH,HIGH
26.38,70.19,1.1,37.23,NORMAL,MEDIUM,NORMAL,NORMAL
27.94,70.18,1,21.89,NORMAL,MEDIUM,NORMAL,NORMAL
34.83,72.95,0.99,84.05,MEDIUM,MEDIUM,NORMAL,MEDIUM
38.67,70.7,1.42,49.06,HIGH,MEDIUM,MEDIUM,NORMAL
26.06,63.88,1.49,90.57,NORMAL,NORMAL,MEDIUM,HIGH
26.04,72.71,1.63,95.72,NORMAL,MEDIUM,HIGH,HIGH
24.24,70.93,1.69,6.15,NORMAL,MEDIUM,HIGH,NORMAL
30.71,60.01,1.01,63.4,LOW,NORMAL,NORMAL,LOW
26.28,63.95,0.91,41.44,NORMAL,NORMAL,NORMAL,NORMAL
27.25,63.5,1.47,78.51,NORMAL,NORMAL,MEDIUM,MEDIUM
34.23,62.79,1.41,18.69,MEDIUM,NORMAL,MEDIUM,NORMAL
29.41,72.92,1.03,99.68,NORMAL,MEDIUM,NORMAL,HIGH
34.31,70.22,1.27,31.96,MEDIUM,MEDIUM,LOW,NORMAL
32.59,65.69,1.48,42.15,LOW,NORMAL,MEDIUM,NORMAL
36.05,74.88,1.66,41.98,MEDIUM,HIGH,HIGH,NORMAL
26.83,73.72,1.1,92.93,NORMAL,HIGH,NORMAL,HIGH
33.21,64,1.22,86.71,LOW,NORMAL,LOW,HIGH
38.68,61.14,1.21,6.16,HIGH,NORMAL,LOW,NORMAL
30.16,69.36,1.14,66.47,LOW,LOW,LOW,LOW
25.93,66.97,1.23,36.59,NORMAL,NORMAL,LOW,NORMAL
28.81,65.13,1.49,93.26,NORMAL,NORMAL,MEDIUM,HIGH
39.61,62.37,1.5,50.28,HIGH,NORMAL,MEDIUM,LOW
39.95,64.07,1.36,93.64,HIGH,NORMAL,MEDIUM,HIGH
37.98,66.15,1.68,97.62,MEDIUM,NORMAL,HIGH,HIGH
27.87,63.43,1.19,32.34,NORMAL,NORMAL,LOW,NORMAL
33.74,71.44,1.49,53.11,LOW,MEDIUM,MEDIUM,LOW
35.27,67.67,0.93,10.73,MEDIUM,LOW,NORMAL,NORMAL
28.36,64.64,1.36,43.3,NORMAL,NORMAL,MEDIUM,NORMAL
28.43,62.89,1.08,16.31,NORMAL,NORMAL,NORMAL,NORMAL
28.75,63.52,1.29,92.16,NORMAL,NORMAL,LOW,HIGH
25.79,62.01,1.37,34.19,NORMAL,NORMAL,MEDIUM,NORMAL
33.66,74.42,1.08,6.53,LOW,HIGH,NORMAL,NORMAL
32.94,61.3,0.93,97.32,LOW,NORMAL,NORMAL,HIGH
34.63,72.28,1.7,97.96,MEDIUM,MEDIUM,HIGH,HIGH
36,63.61,1.43,93.22,MEDIUM,NORMAL,MEDIUM,HIGH
28.36,70.35,1.12,66.64,NORMAL,MEDIUM,LOW,LOW
38.56,60.48,1.47,19.45,HIGH,NORMAL,MEDIUM,NORMAL
34.71,61,1.65,19.35,MEDIUM,NORMAL,HIGH,NORMAL
24.76,65.24,1.13,54.75,NORMAL,NORMAL,LOW,LOW
31.94,62.62,1.53,22.88,LOW,NORMAL,HIGH,NORMAL
25.21,62.78,1.43,13.22,NORMAL,NORMAL,MEDIUM,NORMAL
31.63,72.51,1.17,48.22,LOW,MEDIUM,LOW,NORMAL
31.67,65.98,1.05,90.55,LOW,NORMAL,NORMAL,HIGH
28.37,71.62,1.49,31.49,NORMAL,MEDIUM,MEDIUM,NORMAL
39.49,60.63,1.03,82.53,HIGH,NORMAL,NORMAL,MEDIUM
30.89,70.54,1.17,13.89,LOW,MEDIUM,LOW,NORMAL
28.17,69.76,1.12,70.6,NORMAL,LOW,LOW,MEDIUM
31.39,60.3,1.09,23.18,LOW,NORMAL,NORMAL,NORMAL
24.88,62.4,1.01,70.47,NORMAL,NORMAL,NORMAL,MEDIUM
30.06,61.42,1.67,48.97,LOW,NORMAL,HIGH,NORMAL
32.36,68.74,1.33,53.79,LOW,LOW,MEDIUM,LOW
38.94,71.96,1.58,29.07,HIGH,MEDIUM,HIGH,NORMAL
25.64,61.89,0.95,15.86,NORMAL,NORMAL,NORMAL,NORMAL
25.41,67.52,1.07,84.64,NORMAL,LOW,NORMAL,MEDIUM
33.1,71.81,1.57,88.16,LOW,MEDIUM,HIGH,HIGH
30.89,63.65,1.61,48.03,LOW,NORMAL,HIGH,NORMAL
33.64,71.28,1.43,70.67,LOW,MEDIUM,MEDIUM,MEDIUM
27.01,66.92,0.98,82.99,NORMAL,NORMAL,NORMAL,MEDIUM
38.32,70.97,0.99,65.34,HIGH,MEDIUM,NORMAL,LOW
24.44,64.63,1.43,85.29,NORMAL,NORMAL,MEDIUM,HIGH
31.56,72.76,1.42,58.99,LOW,MEDIUM,MEDIUM,LOW
25.13,69.17,1.62,66.87,NORMAL,LOW,HIGH,LOW
39.83,69.51,1.21,89.84,HIGH,LOW,LOW,HIGH
31.38,61.24,1.36,96.75,LOW,NORMAL,MEDIUM,HIGH
26.14,62.24,1.48,7.04,NORMAL,NORMAL,MEDIUM,NORMAL
30.42,72.11,1.05,95.44,LOW,MEDIUM,NORMAL,HIGH
30.43,72.49,1.41,97.01,LOW,MEDIUM,MEDIUM,HIGH
26.01,62.29,1.04,36.7,NORMAL,NORMAL,NORMAL,NORMAL
30.21,64.74,1.46,93.03,LOW,NORMAL,MEDIUM,HIGH
36.83,68.45,1.37,35.9,MEDIUM,LOW,MEDIUM,NORMAL
24.61,69.61,1.21,5.38,NORMAL,LOW,LOW,NORMAL
37.68,62.05,1.57,66.71,MEDIUM,NORMAL,HIGH,LOW
37.95,69.6,1.1,55.34,MEDIUM,LOW,NORMAL,LOW
38.09,70.19,1.68,32.26,HIGH,MEDIUM,HIGH,NORMAL
28.83,70.45,1.21,95.67,NORMAL,MEDIUM,LOW,HIGH
25.69,68.67,1.06,43.38,NORMAL,LOW,NORMAL,NORMAL
29.68,74.88,0.99,54.77,NORMAL,HIGH,NORMAL,LOW
37.65,74.96,1.33,40.79,MEDIUM,HIGH,MEDIUM,NORMAL
31.58,71,1.48,51.99,LOW,MEDIUM,MEDIUM,LOW
39.82,72.19,0.9,34.83,HIGH,MEDIUM,NORMAL,NORMAL
28.85,73.23,1.64,5.15,NORMAL,HIGH,HIGH,NORMAL
28.91,65.19,1.3,25.79,NORMAL,NORMAL,LOW,NORMAL
29.92,63.61,1.24,44.02,NORMAL,NORMAL,LOW,NORMAL
31.99,68.05,1.09,69.73,LOW,LOW,NORMAL,LOW
34.93,60.71,1.5,16.15,MEDIUM,NORMAL,MEDIUM,NORMAL
31.45,66.19,1.52,51.95,LOW,NORMAL,HIGH,LOW
33.44,60.41,1.25,31.84,LOW,NORMAL,LOW,NORMAL
39.93,67.51,1.03,38.75,HIGH,LOW,NORMAL,NORMAL
37.87,61.05,1.17,90.65,MEDIUM,NORMAL,LOW,HIGH
39.37,73.53,1.61,91.22,HIGH,HIGH,HIGH,HIGH
26.86,66.47,1,57.85,NORMAL,NORMAL,NORMAL,LOW
39.06,63.09,1.21,5.81,HIGH,NORMAL,LOW,NORMAL
33.11,61.23,1.4,24.44,LOW,NORMAL,MEDIUM,NORMAL
38.61,61.34,1.23,85.54,HIGH,NORMAL,LOW,HIGH
34.38,66.14,0.93,71.34,MEDIUM,NORMAL,NORMAL,MEDIUM
29.62,69.62,1.05,57.98,NORMAL,LOW,NORMAL,LOW
29.9,64.76,1.15,78.81,NORMAL,NORMAL,LOW,MEDIUM
36.18,60.55,0.95,34.05,MEDIUM,NORMAL,NORMAL,NORMAL
26.25,67.35,1.35,94.52,NORMAL,LOW,MEDIUM,HIGH
39.03,74.09,1.48,57.12,HIGH,HIGH,MEDIUM,LOW
25.01,65.77,1.64,52.52,NORMAL,NORMAL,HIGH,LOW
34.03,64.17,1.25,71.38,MEDIUM,NORMAL,LOW,MEDIUM
34.07,67.39,1.39,79.43,MEDIUM,LOW,MEDIUM,MEDIUM
29.72,61.96,1.54,55.8,NORMAL,NORMAL,HIGH,LOW
30.76,67.19,1.09,18.88,LOW,LOW,NORMAL,NORMAL
31.8,65.39,1.31,99.75,LOW,NORMAL,MEDIUM,HIGH
30.45,73.26,1.03,70.12,LOW,HIGH,NORMAL,MEDIUM
38.21,65.96,1.36,49.67,HIGH,NORMAL,MEDIUM,NORMAL
28.03,73.21,1.39,46.25,NORMAL,HIGH,MEDIUM,NORMAL
25.32,62.1,1.54,72.54,NORMAL,NORMAL,HIGH,MEDIUM
35.02,66.74,0.93,44.99,MEDIUM,NORMAL,NORMAL,NORMAL
37.71,72.16,1.52,52.65,MEDIUM,MEDIUM,HIGH,LOW
29.78,73.85,1.24,38.06,NORMAL,HIGH,LOW,NORMAL
39.26,64.79,0.97,6.55,HIGH,NORMAL,NORMAL,NORMAL
36.22,69.64,1.65,74.52,MEDIUM,LOW,HIGH,MEDIUM
33.34,65.15,1.4,40.5,LOW,NORMAL,MEDIUM,NORMAL
38.28,70.94,1.36,77.39,HIGH,MEDIUM,MEDIUM,MEDIUM
34,60.39,1.2,88.14,LOW,NORMAL,LOW,HIGH
29.87,60.26,1.12,13.23,NORMAL,NORMAL,LOW,NORMAL
37.62,73.38,0.97,23.06,MEDIUM,HIGH,NORMAL,NORMAL
28.33,69.96,1.34,20.83,NORMAL,LOW,MEDIUM,NORMAL
25.83,73.93,1.6,78.12,NORMAL,HIGH,HIGH,MEDIUM
25.45,65.37,1.03,82.54,NORMAL,NORMAL,NORMAL,MEDIUM
36.29,71.53,1.07,11.94,MEDIUM,MEDIUM,NORMAL,NORMAL
38.27,61.31,1.43,40.15,HIGH,NORMAL,MEDIUM,NORMAL
33.67,61.83,1.66,54.01,LOW,NORMAL,HIGH,LOW
24.84,61.61,1.57,17.76,NORMAL,NORMAL,HIGH,NORMAL
24.17,68.24,1.63,29.67,NORMAL,LOW,HIGH,NORMAL
29.14,68.48,1.24,66.55,NORMAL,LOW,LOW,LOW
37.01,64.33,1.65,82.6,MEDIUM,NORMAL,HIGH,MEDIUM
34.6,62.57,1.63,91.45,MEDIUM,NORMAL,HIGH,HIGH
37.64,66.65,1,16.84,MEDIUM,NORMAL,NORMAL,NORMAL
31.47,63.03,0.92,96.33,LOW,NORMAL,NORMAL,HIGH
26.19,60.65,1.14,22.29,NORMAL,NORMAL,LOW,NORMAL
37.16,74.04,1.66,95.05,MEDIUM,HIGH,HIGH,HIGH
25.63,73.44,1.2,71.77,NORMAL,HIGH,LOW,MEDIUM
28.56,73.03,1.28,56.94,NORMAL,HIGH,LOW,LOW
38.3,66.07,1.6,23.44,HIGH,NORMAL,HIGH,NORMAL
34.62,73.29,1.43,62.33,MEDIUM,HIGH,MEDIUM,LOW
37.45,71.28,1.02,34.08,MEDIUM,MEDIUM,NORMAL,NORMAL
26.3,71.33,1.03,79.06,NORMAL,MEDIUM,NORMAL,MEDIUM
26.25,65.47,1.7,17.08,NORMAL,NORMAL,HIGH,NORMAL
36.56,69.11,0.94,26.26,MEDIUM,LOW,NORMAL,NORMAL
28.74,71.99,1.24,57.14,NORMAL,MEDIUM,LOW,LOW
36.34,71.84,1.41,15.74,MEDIUM,MEDIUM,MEDIUM,NORMAL
31.28,62.25,1.47,33.54,LOW,NORMAL,MEDIUM,NORMAL
30.72,61.66,1.03,79.61,LOW,NORMAL,NORMAL,MEDIUM
26.32,63.42,1.49,81.73,NORMAL,NORMAL,MEDIUM,MEDIUM
26.52,71.44,1.59,89.4,NORMAL,MEDIUM,HIGH,HIGH
28.33,63.01,1.13,36.53,NORMAL,NORMAL,LOW,NORMAL
26.78,69.54,1.03,13.06,NORMAL,LOW,NORMAL,NORMAL
24.25,69.12,1.44,49.09,NORMAL,LOW,MEDIUM,NORMAL
31.66,60.37,1.54,16.91,LOW,NORMAL,HIGH,NORMAL
34.34,73.13,1.16,15.85,MEDIUM,HIGH,LOW,NORMAL
31.66,74.53,1.02,38.78,LOW,HIGH,NORMAL,NORMAL
38.01,74.74,1.37,99.58,HIGH,HIGH,MEDIUM,HIGH
36.12,66.57,1.63,42.66,MEDIUM,NORMAL,HIGH,NORMAL
38.78,74.52,1.27,68.97,HIGH,HIGH,LOW,LOW
36.32,70.47,0.94,71.47,MEDIUM,MEDIUM,NORMAL,MEDIUM
37.82,67.58,1.33,44.53,MEDIUM,LOW,MEDIUM,NORMAL
30.51,65.34,1.54,63.41,LOW,NORMAL,HIGH,LOW
29.55,67.77,1.55,83.13,NORMAL,LOW,HIGH,MEDIUM
31.13,72.21,1.36,5.98,LOW,MEDIUM,MEDIUM,NORMAL
31.93,63.3,1.49,59.91,LOW,NORMAL,MEDIUM,LOW
39.43,70.24,1.45,75.85,HIGH,MEDIUM,MEDIUM,MEDIUM
36.71,67.06,1.46,11.8,MEDIUM,LOW,MEDIUM,NORMAL
28.28,74.66,1.41,19.08,NORMAL,HIGH,MEDIUM,NORMAL
33.31,62.73,1.13,52.98,LOW,NORMAL,LOW,LOW
30.4,74.88,0.92,64.42,LOW,HIGH,NORMAL,LOW
26.94,63.28,1.55,90.09,NORMAL,NORMAL,HIGH,HIGH
30.8,62.74,1.27,45.36,LOW,NORMAL,LOW,NORMAL
36.17,69.04,1.42,20.07,MEDIUM,LOW,MEDIUM,NORMAL
29.53,63.62,1.18,33,NORMAL,NORMAL,LOW,NORMAL
25.51,72.29,1.65,15.82,NORMAL,MEDIUM,HIGH,NORMAL
31.23,60.73,1.32,48.38,LOW,NORMAL,MEDIUM,NORMAL
35.18,74.28,1.34,8.45,MEDIUM,HIGH,MEDIUM,NORMAL
26.65,61.38,1.6,63.72,NORMAL,NORMAL,HIGH,LOW
37.76,67.11,1.33,33.01,MEDIUM,LOW,MEDIUM,NORMAL
25.92,62.85,1.6,72.05,NORMAL,NORMAL,HIGH,MEDIUM
34.26,64.54,1.35,68.55,MEDIUM,NORMAL,MEDIUM,LOW
27.95,67.33,1.49,66.66,NORMAL,LOW,MEDIUM,LOW
35.23,62.69,1.15,99.89,MEDIUM,NORMAL,LOW,HIGH
33.56,60.91,0.92,15.38,LOW,NORMAL,NORMAL,NORMAL
33.7,68.82,1.22,79.45,LOW,LOW,LOW,MEDIUM
34.63,71.58,1.4,5.33,MEDIUM,MEDIUM,MEDIUM,NORMAL
26.47,61.54,1.45,71.26,NORMAL,NORMAL,MEDIUM,MEDIUM
34.23,73.87,1.28,47.11,MEDIUM,HIGH,LOW,NORMAL
34.09,64.97,1.42,49.1,MEDIUM,NORMAL,MEDIUM,NORMAL
28.68,74.56,1.21,70.17,NORMAL,HIGH,LOW,MEDIUM
39.44,70.22,1.04,72.26,HIGH,MEDIUM,NORMAL,MEDIUM
35.4,60.91,0.95,77.91,MEDIUM,NORMAL,NORMAL,MEDIUM
35.92,62.38,1.19,10.93,MEDIUM,NORMAL,LOW,NORMAL
39.02,65.68,1.15,66.33,HIGH,NORMAL,LOW,LOW
28.98,72.3,1.45,22.06,NORMAL,MEDIUM,MEDIUM,NORMAL
38.53,69.03,1.69,34.94,HIGH,LOW,HIGH,NORMAL
37.15,63.01,1.28,78.5,MEDIUM,NORMAL,LOW,MEDIUM
31.37,64.1,1.54,15.2,LOW,NORMAL,HIGH,NORMAL
34.07,63.88,1.34,9.49,MEDIUM,NORMAL,MEDIUM,NORMAL
34.86,72.09,1.13,16.87,MEDIUM,MEDIUM,LOW,NORMAL
36.12,72.11,1.59,50.57,MEDIUM,MEDIUM,HIGH,LOW
29.33,64.41,1.36,7.51,NORMAL,NORMAL,MEDIUM,NORMAL
35.87,65.59,0.98,96.88,MEDIUM,NORMAL,NORMAL,HIGH
39.79,71.74,1.62,27.38,HIGH,MEDIUM,HIGH,NORMAL
34.56,72.04,1.36,16.54,MEDIUM,MEDIUM,MEDIUM,NORMAL
28.73,61.33,0.97,87.5,NORMAL,NORMAL,NORMAL,HIGH
37.65,64.21,1.25,93.39,MEDIUM,NORMAL,LOW,HIGH
34.77,66.8,1.41,67.43,MEDIUM,NORMAL,MEDIUM,LOW
28.95,66.66,1.21,91.44,NORMAL,NORMAL,LOW,HIGH
24.54,74.37,1.36,59.25,NORMAL,HIGH,MEDIUM,LOW
32.89,69.9,0.98,47.02,LOW,LOW,NORMAL,NORMAL
30.89,72.13,1.21,54.37,LOW,MEDIUM,LOW,LOW
38.14,65.19,0.92,16.1,HIGH,NORMAL,NORMAL,NORMAL
32.7,68.65,1.03,29.79,LOW,LOW,NORMAL,NORMAL
31.64,63.63,1.27,10.55,LOW,NORMAL,LOW,NORMAL
26.34,74.89,1.35,21.09,NORMAL,HIGH,MEDIUM,NORMAL
36.68,62.79,1.13,63.81,MEDIUM,NORMAL,LOW,LOW
29.07,63.4,1.61,73.48,NORMAL,NORMAL,HIGH,MEDIUM
35.13,61.07,1.11,13.65,MEDIUM,NORMAL,LOW,NORMAL
38.14,62,1.43,58.79,HIGH,NORMAL,MEDIUM,LOW
33.18,67.73,1.05,31.54,LOW,LOW,NORMAL,NORMAL
32.06,63.37,1.3,16.37,LOW,NORMAL,LOW,NORMAL
30.38,61.46,1.5,46.9,LOW,NORMAL,MEDIUM,NORMAL
35.28,62.23,1.57,46.24,MEDIUM,NORMAL,HIGH,NORMAL
36.87,63.56,1.07,84.71,MEDIUM,NORMAL,NORMAL,MEDIUM
30.78,67.29,1.48,68.84,LOW,LOW,MEDIUM,LOW
35.68,67.03,1.45,12.21,MEDIUM,LOW,MEDIUM,NORMAL
37.97,70.93,1.16,44.14,MEDIUM,MEDIUM,LOW,NORMAL
31.35,70.55,1.6,78.26,LOW,MEDIUM,HIGH,MEDIUM
33.87,71.77,1.11,67.21,LOW,MEDIUM,LOW,LOW
30.5,65.81,0.92,86.69,LOW,NORMAL,NORMAL,HIGH
32.83,72.08,1.49,68.4,LOW,MEDIUM,MEDIUM,LOW
32.87,74.23,1.38,24.6,LOW,HIGH,MEDIUM,NORMAL
38.05,74.82,1.11,50.76,HIGH,HIGH,LOW,LOW
36.84,72.95,1.18,82.07,MEDIUM,MEDIUM,LOW,MEDIUM
29.58,70.62,1.64,89.29,NORMAL,MEDIUM,HIGH,HIGH
37.45,64.29,0.92,73.35,MEDIUM,NORMAL,NORMAL,MEDIUM
39.96,62.27,0.94,99.4,HIGH,NORMAL,NORMAL,HIGH
38.87,74.45,1.65,29.53,HIGH,HIGH,HIGH,NORMAL
38.35,73.28,1.61,29.22,HIGH,HIGH,HIGH,NORMAL
37.02,60.9,1.58,12.85,MEDIUM,NORMAL,HIGH,NORMAL
39.82,68.75,0.92,70.99,HIGH,LOW,NORMAL,MEDIUM
35.68,74.78,1.33,76.96,MEDIUM,HIGH,MEDIUM,MEDIUM
38.03,60.36,1.4,13.16,HIGH,NORMAL,MEDIUM,NORMAL
29.2,66.87,1.37,16.47,NORMAL,NORMAL,MEDIUM,NORMAL
36.82,70.14,1.23,43.19,MEDIUM,MEDIUM,LOW,NORMAL
30.95,66.9,1.38,66.47,LOW,NORMAL,MEDIUM,LOW
38.26,68.91,1.37,82.99,HIGH,LOW,MEDIUM,MEDIUM
39.21,61.25,1.15,15.54,HIGH,NORMAL,LOW,NORMAL
33.34,72.95,0.93,96.43,LOW,MEDIUM,NORMAL,HIGH
29.26,62.79,1.14,27.84,NORMAL,NORMAL,LOW,NORMAL
29.69,61.66,1.02,27.58,NORMAL,NORMAL,NORMAL,NORMAL
26.45,69.25,1.1,72.38,NORMAL,LOW,NORMAL,MEDIUM
28.18,65.7,0.98,39.03,NORMAL,NORMAL,NORMAL,NORMAL
34.7,73.97,1.43,5.51,MEDIUM,HIGH,MEDIUM,NORMAL
32.94,69.24,1.47,87.02,LOW,LOW,MEDIUM,HIGH
31.56,67.63,1.18,22.15,LOW,LOW,LOW,NORMAL
28.55,60.2,1.27,50.35,NORMAL,NORMAL,LOW,LOW
34.81,62.54,1.08,22.95,MEDIUM,NORMAL,NORMAL,NORMAL
24.56,61.45,0.91,96.35,NORMAL,NORMAL,NORMAL,HIGH
25.24,62.02,1.19,86.45,NORMAL,NORMAL,LOW,HIGH
35.8,62.69,1.26,67.32,MEDIUM,NORMAL,LOW,LOW
33.13,60.17,1.37,12.3,LOW,NORMAL,MEDIUM,NORMAL
34.02,66.43,1.19,15.29,MEDIUM,NORMAL,LOW,NORMAL
26.75,67.47,0.97,17.98,NORMAL,LOW,NORMAL,NORMAL
29.45,73.07,1.28,65.43,NORMAL,HIGH,LOW,LOW
30.31,60.18,1.23,12.23,LOW,NORMAL,LOW,NORMAL
34.02,65.86,1.27,60.76,MEDIUM,NORMAL,LOW,LOW
36.28,60.87,0.94,72.69,MEDIUM,NORMAL,NORMAL,MEDIUM
33.95,73.69,1.11,11.46,LOW,HIGH,LOW,NORMAL
35.58,73.81,0.96,74.28,MEDIUM,HIGH,NORMAL,MEDIUM
28.67,69.29,1.33,56.31,NORMAL,LOW,MEDIUM,LOW
32.54,72.74,0.96,25.78,LOW,MEDIUM,NORMAL,NORMAL
26.43,60.85,1.29,91.76,NORMAL,NORMAL,LOW,HIGH
31.15,64.51,0.95,96.45,LOW,NORMAL,NORMAL,HIGH
24.08,62.88,1.54,55.94,NORMAL,NORMAL,HIGH,LOW
30.48,62.1,1.02,75.43,LOW,NORMAL,NORMAL,MEDIUM
26.4,74.13,1.13,81.41,NORMAL,HIGH,LOW,MEDIUM
33.25,73.88,1.07,41.31,LOW,HIGH,NORMAL,NORMAL
28,67.3,1.65,68.83,NORMAL,LOW,HIGH,LOW
36.69,72.47,1.27,17.37,MEDIUM,MEDIUM,LOW,NORMAL
35.29,68.21,1.64,16.53,MEDIUM,LOW,HIGH,NORMAL
39.19,69.39,0.94,7.7,HIGH,LOW,NORMAL,NORMAL
35.54,68.28,1.02,12.8,MEDIUM,LOW,NORMAL,NORMAL
25.84,69.84,1.41,22.29,NORMAL,LOW,MEDIUM,NORMAL
26.78,72.49,1.49,62.86,NORMAL,MEDIUM,MEDIUM,LOW
35.32,62.06,1.62,36.37,MEDIUM,NORMAL,HIGH,NORMAL
38.05,67.02,1.02,75.41,HIGH,LOW,NORMAL,MEDIUM
31.37,60.23,1.16,61.93,LOW,NORMAL,LOW,LOW
24.91,71.02,1.36,67.02,NORMAL,MEDIUM,MEDIUM,LOW
25.78,60.83,1.47,55.02,NORMAL,NORMAL,MEDIUM,LOW
37.69,65.35,1.44,83.13,MEDIUM,NORMAL,MEDIUM,MEDIUM
25.29,70.14,1.11,74,NORMAL,MEDIUM,LOW,MEDIUM
25.8,69.01,0.99,23,NORMAL,LOW,NORMAL,NORMAL
34.62,61.36,1.26,33.01,MEDIUM,NORMAL,LOW,NORMAL
32.87,66.19,1.15,23.14,LOW,NORMAL,LOW,NORMAL
35.93,69.8,1.01,54.59,MEDIUM,LOW,NORMAL,LOW
29.19,67.72,1.21,94.98,NORMAL,LOW,LOW,HIGH
